fraction_of_raw_full,hit_rate_cfg,target_hits_per_cycle,accepted_hits_per_cycle,util_of_raw_full,measured_hits,avg_occupancy,max_occupancy,full_cycles,frame_start_count,samples,tlm_assigned_hits,tlm_dropped_hits,tlm_unassigned_hits,max_measured_outstanding,rtl_tlm_frame_exact_pct,rtl_tlm_output_exact_pct,rtl_tlm_output_within1_pct,actual_frame_min,actual_frame_p50,actual_frame_p90,actual_frame_p99,actual_frame_max,actual_output_min,actual_output_p50,actual_output_p90,actual_output_p99,actual_output_max,tlm_frame_min,tlm_frame_p50,tlm_frame_p90,tlm_frame_p99,tlm_frame_max,tlm_output_min,tlm_output_p50,tlm_output_p90,tlm_output_p99,tlm_output_max,frame_delta_mean,output_delta_mean,output_delta_p99,actual_output_in_1f,actual_output_in_2f_only,actual_output_ge_2f
0.0,0,0.0,0.0,0.0,0,0.0,0,0,274,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
0.1,1872,0.02857142857142857,0.03101,0.108535,6202,15.983,138,0,275,6202,6202,0,0,138,99.91938084488875,97.09771041599484,97.09771041599484,1.96875,443.96875,815.96875,901.9996874999999,910.96875,40.0,519.96875,853.96875,917.96875,950.96875,0.96875,442.484375,814.96875,900.96875,909.96875,40.0,519.0,852.96875,917.0,950.96875,0.7336343115124153,0.7545952918413416,4.0,6061,141,0
0.2,3745,0.05714285714285714,0.06011,0.210385,12022,33.796,177,0,276,12022,12022,0,0,177,99.9001829978373,94.17734154050906,94.17734154050906,1.96875,451.96875,819.96875,901.0,911.0,114.0,568.96875,860.996875,921.96875,991.96875,0.96875,450.96875,818.96875,900.96875,909.96875,111.96875,568.0,860.8718749999996,920.96875,991.96875,0.9083347196805855,0.9119114955914157,4.0,11681,341,0
0.4,7490,0.11428571428571428,0.117735,0.41207250000000006,23547,76.769,244,0,276,23547,23547,0,0,244,99.91506349004119,90.91179343440778,90.91179343440778,1.96875,455.96875,819.96875,900.96875,911.0,272.96875,664.96875,880.96875,941.5087500000009,1109.96875,0.96875,454.96875,819.0,900.0,910.0,265.96875,664.0,879.96875,939.96875,1109.96875,0.7729222406251327,0.765575232513696,4.0,22490,1057,0
0.6,11235,0.1714285714285714,0.1744,0.6104,34880,129.485,256,270,276,34880,34879,1,1,260,99.89965308638436,83.35961466785172,83.35961466785172,1.96875,457.96875,821.96875,901.96875,1011.0,399.96875,758.96875,901.0,974.96875,1063.96875,0.96875,456.96875,820.96875,900.96875,910.0,399.96875,758.0,900.0,973.975625,1063.96875,0.9131569139023481,0.9312193583531638,4.0,32197,2683,0
0.8,14980,0.22857142857142856,0.229025,0.8015875000000001,45805,188.977,256,1082,276,45805,45799,6,6,260,99.89737767200157,75.3706412803773,75.3706412803773,1.96875,456.96875,820.96875,901.96875,1016.96875,588.96875,842.96875,916.0,961.0,1096.96875,0.96875,455.96875,819.96875,900.96875,910.0,588.96875,841.96875,915.0,960.0,1092.96875,0.933863184785694,1.0274896831808555,4.0,39719,6086,0
0.9,16852,0.2571428571428571,0.254305,0.8900675,50861,220.214,256,3081,276,50861,50844,17,17,260,99.87019117299977,61.460545983793565,61.460545983793565,1.96875,459.0,820.96875,901.96875,1034.96875,670.96875,880.96875,930.96875,988.96875,1044.96875,0.96875,457.96875,819.6781250000042,899.9865625,910.0,670.96875,879.96875,929.0,985.96875,1035.96875,1.1812603257021477,1.454665250570372,4.0,37490,13371,0
0.95,17788,0.2714285714285714,0.26304,0.92064,52608,231.357,256,6318,276,52608,52571,37,37,260,99.83260733103802,42.19246352551787,42.19246352551787,1.96875,459.96875,819.0,901.0,1040.96875,684.96875,892.96875,941.96875,994.96875,1069.96875,0.96875,457.96875,817.0,898.96875,910.0,684.96875,890.96875,939.96875,992.0,1066.96875,1.5232732875539747,2.106294344790854,4.0,35005,17603,0
1.0,18725,0.2857142857142857,0.269815,0.9443525000000002,53963,240.275,256,10703,276,53963,53914,49,49,260,99.80153577920392,28.365545127425158,28.365545127425158,1.96875,460.96875,819.96875,901.96875,1041.96875,701.96875,902.96875,943.0,989.96875,1051.96875,0.96875,458.96875,817.0,898.96875,910.0,701.96875,899.96875,940.96875,985.96875,1046.96875,1.806024409244352,2.573116444708239,4.0,31858,22105,0
